input,blk_cnt,test_cnt,rate
http://www.proxydb.net,51,179,0.28
http://www.ultimateproxy.net,50,176,0.28
http://www.quickproxy.co.uk,51,179,0.28
http://www.unblockdomain.com,50,176,0.28
http://www.listproxysites.com,52,183,0.28
http://www.unblockstreaming.com,48,176,0.27
http://www.guardster.com,48,178,0.27
http://www.ultimate-anonymity.com,104,380,0.27
http://www.dontfilter.us,50,183,0.27
http://www.proproxy.me,48,179,0.27
http://www.justproxy.co.uk,51,187,0.27
http://www.anonymizer.ru,60,221,0.27
http://www.myusvpn.com,49,180,0.27
http://www.inetprivacy.com,106,397,0.27
http://thegeekdaily.com,46,172,0.27
http://www.proxyarab.com,49,179,0.27
http://www.pinkproxy.xyz,49,179,0.27
http://multiproxy.org/,63,232,0.27
http://www.seeproxy.me,49,180,0.27
http://www.peacefire.org/circumventor/simple-circumventor-instructions.html,58,215,0.27
http://www.yourprivatevpn.com,47,178,0.26
http://www.hideme.be,48,182,0.26
http://peacefire.org/,60,228,0.26
http://www.peacefire.org,47,178,0.26
http://www.unblockblocked.net,45,176,0.26
http://www.gatherproxy.com,48,183,0.26
http://www.school-proxy.net,47,179,0.26
http://multiproxy.org,47,178,0.26
http://www.proxyone.net,48,187,0.26
http://anonymizer.ru,46,177,0.26
http://www.stupidcensorship.com,101,385,0.26
http://www.yourcheat.com,46,177,0.26
http://anonymouse.org,61,241,0.25
http://securefor.com,44,173,0.25
https://www.hidemyass.com/,45,180,0.25
http://www.surfbouncer.com,44,177,0.25
http://www.surfeasy.com,37,154,0.24
http://www.blackvpn.com,38,161,0.24
http://www.hidemyass.com,38,165,0.23
http://www.khrp.org,50,220,0.23
http://www.trust.zone,36,155,0.23
http://www.proxy.world,31,143,0.22
http://www.nordvpn.com,37,165,0.22
http://tunnello.com,31,152,0.2
http://www.thevpn.guru,27,143,0.19
http://www.oovoo.com/,36,188,0.19
https://www.purevpn.com/,32,177,0.18
http://delicious.com,42,229,0.18
http://uproxy.org,26,141,0.18
http://www.tunnelbear.com,28,158,0.18
http://www.le-vpn.com,26,151,0.17
http://www.torguard.net,26,157,0.17
http://www.hide-my-ip.com,28,161,0.17
http://www.purevpn.com,26,155,0.17
http://zamakan.gharbeia.org/,1,6,0.17
http://www.safervpn.com,26,153,0.17
http://www.awmproxy.com,26,159,0.16
http://www.zend2.com,26,164,0.16
http://www.cyberghostvpn.com,28,173,0.16
http://www.zetasurf.info,27,173,0.16
http://tunnelbear.com,27,177,0.15
https://www.ampproject.org,1,8,0.13
http://www.proxy-deal.xyz,19,179,0.11
http://elbadil.net,21,186,0.11
http://horriapost.net,23,213,0.11
http://www.kcna.kp,22,218,0.1
