,measurement_start_time,probe_asn,input,domain,explorer_url,dns,false,http-failure,tcp_ip
248,2019-02-24 02:13:31,4808,https://pt.m.wikipedia.org/,pt.m.wikipedia.org,https://explorer.ooni.io/measurement/20190224T021231Z_AS4808_txgwQICmd5fUzEBIcXoEky2v0TX7YVUtiUbflJlSatCydZsZKs?input=https%3A%2F%2Fpt.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
249,2019-02-25 03:09:10,4837,https://en.m.wikipedia.org/,en.m.wikipedia.org,https://explorer.ooni.io/measurement/20190225T030805Z_AS4837_7ytCPQChfdSiEOM5PaiTZjXLZUIcfyR3bextxU4XihE61Curzw?input=https%3A%2F%2Fen.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
250,2019-02-28 11:53:51,4538,https://en.wikipedia.org/,en.wikipedia.org,https://explorer.ooni.io/measurement/20190228T115342Z_AS4538_Ml8BiFqcREoOJFQMODHxHx8j9b3u5he4btJMICxEtobHNEPrrW?input=https%3A%2F%2Fen.wikipedia.org%2F,0.0,1.0,0.0,0.0
251,2019-03-01 15:20:26,4837,https://ar.m.wikipedia.org/,ar.m.wikipedia.org,https://explorer.ooni.io/measurement/20190301T152025Z_AS4837_l8mKeacDeWKSF9t2nRIWqONAhb5q4TLIl6Vtr1O7mfHxBYp8qZ?input=https%3A%2F%2Far.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
252,2019-03-04 08:31:04,4134,https://ar.m.wikipedia.org/,ar.m.wikipedia.org,https://explorer.ooni.io/measurement/20190304T083105Z_AS4134_m0PIQOuvV1frr39pgpcOHIDnnYeLgzbCzAbNcAwZBTQBgx8CEL?input=https%3A%2F%2Far.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
253,2019-03-04 15:06:58,4812,https://en.wikipedia.org/,en.wikipedia.org,https://explorer.ooni.io/measurement/20190304T150635Z_AS4812_ZQKyHEpUPFwgogDEz0yMEsilzq19jGhMzVJVoSjc4Rl9j6oZ7E?input=https%3A%2F%2Fen.wikipedia.org%2F,0.0,1.0,0.0,0.0
254,2019-03-05 05:04:24,4134,https://ja.wikipedia.org/,ja.wikipedia.org,https://explorer.ooni.io/measurement/20190305T050424Z_AS4134_VBvmphm89vkxD5X5ZeUHbNg4mD4O73z35EoZQkTy7FLz4MIOjB?input=https%3A%2F%2Fja.wikipedia.org%2F,1.0,0.0,0.0,0.0
255,2019-03-05 06:58:52,4837,https://it.wikipedia.org/,it.wikipedia.org,https://explorer.ooni.io/measurement/20190305T065820Z_AS4837_QcsJ4sl934tURCb1HQ8JqVYw33L1FGwBbfxMOs1SosPaLdAtII?input=https%3A%2F%2Fit.wikipedia.org%2F,0.0,1.0,0.0,0.0
256,2019-03-09 08:25:21,45102,https://pt.m.wikipedia.org/,pt.m.wikipedia.org,https://explorer.ooni.io/measurement/20190309T082501Z_AS45102_XZGfmLwiLre7jEx8T4zVttk0iTEhFyRfQRcRxtGXnQSGvi5j0o?input=https%3A%2F%2Fpt.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
257,2019-03-09 15:49:04,4538,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20190309T154805Z_AS4538_bt42EibKZCkA40WYLhHT1FdXmTHiphY28brX7T21BxM6ZeAosp?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
