url,category_code,category_description,explorer_url,domain
http://ipvnews.org/,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210358Z_webconnectivity_RU_35807_n1_9GQT1HuM1DbKNxq5?input=http%3A%2F%2Fipvnews.org%2F,ipvnews.org
https://newtimes.ru/,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fnewtimes.ru%2F,newtimes.ru
https://nnmclub.to/forum/search.php?search_author=psycrow17,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fnnmclub.to%2Fforum%2Fsearch.php%3Fsearch_author%3Dpsycrow17,nnmclub.to
https://novayagazeta.eu/,NEWS,News Media,https://explorer.ooni.org/measurement/20221031T003335Z_webconnectivity_RU_212614_n1_YyOGXxwV09og66Ps?input=https%3A%2F%2Fnovayagazeta.eu,novayagazeta.eu
http://nr2.com.ua/,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fnr2.com.ua%2F,nr2.com.ua
http://kinobolt.ru/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T210358Z_webconnectivity_RU_35807_n1_9GQT1HuM1DbKNxq5?input=http%3A%2F%2Fkinobolt.ru%2F,kinobolt.ru
http://www.uniongang.net/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220717T215637Z_webconnectivity_RU_35807_n1_oGQoi01L8XcXGX7G?input=http%3A%2F%2Fwww.uniongang.net%2F,www.uniongang.net
http://www.aceshigh.com/,GMB,Gambling,https://explorer.ooni.org/measurement/20220412T050012Z_webconnectivity_RU_48642_n1_MJByYEHokpBM84El?input=http%3A%2F%2Fwww.aceshigh.com%2F,www.aceshigh.com
http://www.shram.kiev.ua/,SRCH,Search Engines,https://explorer.ooni.org/measurement/20220412T050534Z_webconnectivity_RU_47684_n1_cmwwbMZMzTuyiwqu?input=http%3A%2F%2Fwww.shram.kiev.ua%2F,www.shram.kiev.ua
http://lib.rus.ec/,CULTR,Culture,https://explorer.ooni.org/measurement/20220817T210358Z_webconnectivity_RU_35807_n1_9GQT1HuM1DbKNxq5?input=http%3A%2F%2Flib.rus.ec%2F,lib.rus.ec
http://anonymouse.org/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/20220801T000319Z_webconnectivity_RU_42668_n1_Uml5bgHwNF30bK30?input=http%3A%2F%2Fanonymouse.org%2F,anonymouse.org
https://beeg.com/,PORN,Pornography,https://explorer.ooni.org/measurement/20220818T180820Z_webconnectivity_RU_42511_n1_mooGCosltHRFx9Tm?input=https%3A%2F%2Fbeeg.com%2F,beeg.com
