domain,category_code,category_description,explorer_url
miro.medium.com,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fmiro.medium.com%2Frobots.txt
krym.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkrym.gitlab.io%2Fua%2F
vegas.williamhill.com,GMB,Gambling,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fvegas.williamhill.com%2F
1337x.to,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2F1337x.to%2F
svtv.org,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fsvtv.org
grand-casino0.com,GMB,Gambling,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fgrand-casino0.com%2Fgrand%2F
novayagazeta.ru,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fnovayagazeta.ru
t.me,COMT,Communication Tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Ft.me
scontent-frt3-2.cdninstagram.com,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fscontent-frt3-2.cdninstagram.com%2Ffavicon.ico
video.cdninstagram.com,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fvideo.cdninstagram.com%2Ffavicon.ico
b.growerz.online,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fb.growerz.online%2F
zasekin.ru,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fzasekin.ru%2F
jahforum.org,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fjahforum.org%2F
www.usrf.us,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.usrf.us%2F
www.newsru.com,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.newsru.com%2F
www.gofundme.com,ECON,Economics,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.gofundme.com%2F
sibrea.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fsibrea.gitlab.io%2F
www.radiomarsho.com,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.radiomarsho.com%2F
azatli.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fazatli.gitlab.io%2F
blackseango.org,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fblackseango.org%2F
eztv.re,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Feztv.re%2F
8kun.top,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/?input=https%3A%2F%2F8kun.top%2F
katcr.to,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkatcr.to%2F
www.anonymizer.com,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.anonymizer.com%2F
www.torproject.org,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.torproject.org%2F
www.limetorrents.lol,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.limetorrents.lol%2F
azattyq.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fazattyq.gitlab.io%2F
pornoelena.net,PORN,Pornography,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fpornoelena.net%2F
zona.media,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fzona.media%2F
www.betternet.co,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.betternet.co%2F
www.eventbrite.com,CULTR,Culture,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.eventbrite.com%2F
1337x.st,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2F1337x.st%2F
radiofreel.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fradiofreel.gitlab.io%2F
skiff.com,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fskiff.com%2F
www.amnesty.org,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.amnesty.org%2F
scontent.cdninstagram.com,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fscontent.cdninstagram.com%2Frobots.txt
cannabisnature.com,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fcannabisnature.com%2F
